,country,continent,sub_region
185,"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa
186,Saint Kitts and Nevis,Americas,Caribbean
187,Saint Lucia,Americas,Caribbean
188,Saint Martin (French part),Americas,Caribbean
189,Saint Pierre and Miquelon,Americas,Northern America
190,Saint Vincent and the Grenadines,Americas,Caribbean
191,Samoa,Oceania,Polynesia
192,San Marino,Europe,Southern Europe
193,Sao Tome and Principe,Africa,Middle Africa
194,Saudi Arabia,Asia,Western Asia
195,Senegal,Africa,Western Africa
196,Serbia,Europe,Southern Europe
197,Seychelles,Africa,Eastern Africa
198,Sierra Leone,Africa,Western Africa
199,Singapore,Asia,South-Eastern Asia
200,Sint Maarten (Dutch part),Americas,Caribbean
201,Slovakia,Europe,Eastern Europe
202,Slovenia,Europe,Southern Europe
203,Solomon Islands,Oceania,Melanesia
204,Somalia,Africa,Eastern Africa
205,South Africa,Africa,Southern Africa
206,South Georgia and the South Sandwich Islands,,
207,South Sudan,Africa,Eastern Africa
208,Spain,Europe,Southern Europe
209,Sri Lanka,Asia,Southern Asia
210,Sudan,Africa,Northern Africa
211,Suriname,Americas,South America
212,Svalbard and Jan Mayen,Europe,Northern Europe
213,Swaziland,Africa,Southern Africa
214,Sweden,Europe,Northern Europe
215,Switzerland,Europe,Western Europe
216,Syrian Arab Republic,Asia,Western Asia
217,"Taiwan, Province of China",Asia,Eastern Asia
218,Tajikistan,Asia,Central Asia
219,"Tanzania, United Republic of",Africa,Eastern Africa
220,Thailand,Asia,South-Eastern Asia
221,Timor-Leste,Asia,South-Eastern Asia
222,Togo,Africa,Western Africa
223,Tokelau,Oceania,Polynesia
224,Tonga,Oceania,Polynesia
225,Trinidad and Tobago,Americas,Caribbean
226,Tunisia,Africa,Northern Africa
227,Turkey,Asia,Western Asia
228,Turkmenistan,Asia,Central Asia
229,Turks and Caicos Islands,Americas,Caribbean
230,Tuvalu,Oceania,Polynesia
231,Uganda,Africa,Eastern Africa
232,Ukraine,Europe,Eastern Europe
233,United Arab Emirates,Asia,Western Asia
234,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
235,United States of America,Americas,Northern America
236,United States Minor Outlying Islands,,
237,Uruguay,Americas,South America
238,Uzbekistan,Asia,Central Asia
239,Vanuatu,Oceania,Melanesia
240,Venezuela (Bolivarian Republic of),Americas,South America
241,Viet Nam,Asia,South-Eastern Asia
242,Virgin Islands (British),Americas,Caribbean
243,Virgin Islands (U.S.),Americas,Caribbean
244,Wallis and Futuna,Oceania,Polynesia
245,Western Sahara,Africa,Northern Africa
246,Yemen,Asia,Western Asia
247,Zambia,Africa,Eastern Africa
248,Zimbabwe,Africa,Eastern Africa
